year,state,humidity,soil_surface,max_temp,min_temp,soil_moisture,root_zone,max_speed,min_speed,radiation,rainfall
2015,Kaduna,54.25,0.48,40.32,6.47,0.54,0.5,9.3,0.02,35.27,1228.71
2016,Kaduna,61.19,0.53,39.01,8.69,0.58,0.52,8.23,0.05,35.24,1212.89
2017,Kaduna,58.06,0.52,39.25,11.87,0.59,0.52,8.64,0.04,35.25,1191.8
2018,Kaduna,58.5,0.48,39.07,8.81,0.54,0.49,8.06,0.05,35.25,991.41
2019,Kaduna,58.88,0.48,40.01,9.38,0.53,0.49,8.14,0.02,35.25,1128.52
2020,Kaduna,67.44,0.65,38.55,8.3,0.7,0.65,9.16,0.02,35.24,2230.66
2015,Kano,38.44,0.24,43.12,5.87,0.27,0.26,3.46,0.02,35.15,416.6
2016,Kano,41.38,0.26,42.86,8.49,0.28,0.27,3.23,0.01,35.12,406.05
2017,Kano,41.38,0.27,42.9,11.55,0.3,0.28,3.35,0.01,35.13,522.07
2018,Kano,41,0.24,43.02,7.8,0.27,0.26,3.02,0.01,35.13,337.5
2019,Kano,43.12,0.27,42.81,8.76,0.29,0.27,3.2,0.02,35.13,479.88
2020,Kano,52.38,0.36,41.65,8.34,0.38,0.35,3.38,0.02,35.12,1249.8
2015,Katsina,40.12,0.26,43.2,7.01,0.26,0.24,9.77,0.05,35.15,785.74
2016,Katsina,42.69,0.27,42.62,9.9,0.26,0.24,9.09,0,35.12,738.28
2017,Katsina,41,0.26,42.87,11.2,0.25,0.24,8.87,0.03,35.13,696.09
2018,Katsina,45.06,0.3,42.01,9.15,0.28,0.27,8.77,0.02,35.13,838.48
2019,Katsina,42.69,0.26,42.34,9.95,0.24,0.23,8.23,0.02,35.13,680.27
2020,Katsina,53.56,0.41,41.51,7.56,0.4,0.37,9.07,0.04,35.12,1513.48
2015,Kebbi,45,0.3,44.18,9,0.32,0.31,5.62,0.05,35.15,775.2
2016,Kebbi,48,0.33,44.12,12.18,0.34,0.32,5.03,0.05,35.12,754.1
2017,Kebbi,45.5,0.31,44.19,13.81,0.32,0.3,5.18,0.03,35.13,991.41
2018,Kebbi,48.94,0.31,43.93,11.76,0.32,0.31,4.91,0.03,35.13,938.67
2019,Kebbi,51.69,0.38,43.55,10.27,0.38,0.37,5.09,0.04,35.13,970.31
2020,Kebbi,56.94,0.41,42.87,9.05,0.42,0.4,5.62,0.03,35.12,1381.64
2015,Kogi,67.31,0.48,39.39,12.81,0.54,0.5,7.84,0.03,35.64,838.48
2016,Kogi,69.44,0.54,40.1,15.58,0.59,0.55,5.81,0.01,35.62,1175.98
2017,Kogi,72.31,0.56,39.23,15.33,0.62,0.56,5.03,0.04,35.62,1302.54
2018,Kogi,72.56,0.57,37.89,12.08,0.61,0.55,5.55,0.02,35.62,1350
2019,Kogi,71.5,0.55,40.23,15.05,0.6,0.55,6.49,0.03,35.62,1328.91
2020,Kogi,72.69,0.59,39.35,12.28,0.64,0.58,7.9,0.01,35.62,1466.02
2015,Kwara,72.38,0.55,38.48,10.72,0.59,0.55,5.84,0.05,35.56,564.26
2016,Kwara,71.12,0.56,41.1,14.44,0.59,0.56,6.64,0.03,35.54,901.76
2017,Kwara,74.81,0.62,38.99,15.76,0.65,0.61,5.59,0.01,35.54,991.41
2018,Kwara,76.12,0.66,37.88,11.85,0.69,0.64,5.56,0.03,35.54,1112.7
2019,Kwara,78.5,0.69,36.76,12.65,0.71,0.67,5.48,0.05,35.54,1049.41
2020,Kwara,76.31,0.65,36.19,11.56,0.68,0.62,5.84,0.02,35.54,827.93
2015,Lagos,84.69,0.62,31.13,15.17,0.88,0.59,4.96,0.03,35.71,1049.41
2016,Lagos,85.19,0.59,32.18,19.09,0.82,0.56,4.75,0.04,35.69,1466.02
2017,Lagos,85.88,0.63,31.76,21.4,0.86,0.61,4.79,0.05,35.69,1392.19
2018,Lagos,85.5,0.62,31.67,18.54,0.86,0.6,5.02,0.05,35.69,1418.55
2019,Lagos,85.88,0.7,31.49,20.08,0.9,0.68,4.83,0.02,35.69,1829.88
2020,Lagos,85.31,0.66,31.87,17.8,0.9,0.63,5.08,0.05,35.69,1392.19
2015,Nasarawa,58.06,0.41,41.5,15.11,0.47,0.45,8.88,0.04,35.56,606.45
2016,Nasarawa,65.56,0.52,42.13,16.63,0.57,0.54,8.49,0.03,35.54,1223.44
2017,Nasarawa,64.31,0.49,41.04,17.26,0.54,0.5,7.71,0.03,35.54,912.3
2018,Nasarawa,62.81,0.45,41.07,15.38,0.5,0.48,7.57,0.03,35.54,743.55
2019,Nasarawa,62.19,0.45,42.94,17.4,0.5,0.48,7.83,0.03,35.54,870.12
2020,Nasarawa,63.62,0.5,41.91,16.22,0.55,0.51,9.59,0.04,35.54,991.41
2015,Niger,61.75,0.48,41.93,11.46,0.65,0.51,7.18,0.02,35.47,711.91
2016,Niger,65.25,0.52,41.35,13.23,0.66,0.55,7.03,0.05,35.45,1117.97
2017,Niger,65,0.53,41.32,13.64,0.68,0.55,6.27,0.03,35.46,1049.41
2018,Niger,68.25,0.55,39.79,10.33,0.69,0.57,5.52,0.01,35.45,1102.15
2019,Niger,68.56,0.55,41.34,11.55,0.69,0.57,6,0,35.45,1149.61
2020,Niger,70.38,0.59,38.86,10.32,0.71,0.59,7.22,0.04,35.45,1307.81
2015,Ogun,85.06,0.7,32.98,11.07,0.84,0.69,4.38,0.08,35.64,1255.08
2016,Ogun,84.44,0.66,35.55,15.14,0.77,0.65,4.54,0.02,35.62,1703.32
2017,Ogun,85.94,0.7,34.06,17.81,0.82,0.68,4.45,0.01,35.62,1576.76
2018,Ogun,85.75,0.71,34.3,14.4,0.83,0.7,4.09,0.02,35.62,1877.34
2019,Ogun,86.81,0.77,33.03,15.23,0.88,0.77,3.9,0.02,35.62,2225.39
2020,Ogun,85.69,0.73,33.82,13.72,0.87,0.73,4.23,0.03,35.62,1545.12
2015,Ondo,81.25,0.67,34.69,11.64,0.7,0.65,5.07,0.05,35.64,1170.7
2016,Ondo,81.19,0.69,37.71,14.83,0.72,0.68,5.12,0.04,35.62,1887.89
2017,Ondo,84.38,0.74,34.75,15.93,0.77,0.73,3.8,0.02,35.62,1829.88
2018,Ondo,83.69,0.77,33.97,13.4,0.8,0.76,4.16,0.04,35.62,2167.38
2019,Ondo,85.25,0.79,32.76,14.35,0.82,0.78,4.05,0.02,35.62,2457.42
2020,Ondo,83.62,0.77,33.98,12.43,0.81,0.75,5.38,0.04,35.62,1893.16
2015,Osun,80.12,0.7,35.71,10.73,0.72,0.67,5.38,0.02,35.64,1318.36
2016,Osun,78.44,0.69,38.8,14.34,0.71,0.68,6.08,0.02,35.62,1787.7
2017,Osun,81.56,0.75,36.24,16.02,0.77,0.73,4.8,0.01,35.62,1671.68
2018,Osun,81.69,0.77,35.46,12.33,0.8,0.76,4.97,0.01,35.62,2141.02
2019,Osun,83.56,0.8,33.19,13.4,0.83,0.79,4.73,0.02,35.62,2446.88
2020,Osun,81.56,0.77,35.1,12.16,0.79,0.74,5.8,0.02,35.62,1629.49
2015,Oyo,84.62,0.77,33.48,11.06,0.81,0.75,5.12,0.06,35.64,1170.7
2016,Oyo,83.88,0.73,35.75,14.58,0.76,0.71,5.45,0.03,35.62,1471.29
2017,Oyo,85.81,0.79,33.45,16.68,0.84,0.79,4.82,0.04,35.62,1571.48
2018,Oyo,85.44,0.8,33.06,13.08,0.85,0.81,4.61,0.02,35.62,1745.51
2019,Oyo,86.5,0.84,32.53,14.15,0.89,0.84,4.32,0.03,35.62,1993.36
2020,Oyo,84.69,0.77,33.63,12.98,0.83,0.77,5.47,0.02,35.62,1371.09
2015,Plateau,51.94,0.45,39.05,6.6,0.6,0.61,8.94,0.04,35.47,595.9
2016,Plateau,59.19,0.57,38.67,9.82,0.66,0.67,7.54,0.02,35.45,1181.25
2017,Plateau,54,0.51,38.02,12.53,0.63,0.65,8.33,0.04,35.46,748.83
2018,Plateau,57.56,0.52,38.01,8.75,0.63,0.65,7.57,0.02,35.45,775.2
2019,Plateau,58.25,0.52,39.37,9.57,0.63,0.64,7.45,0.01,35.45,970.31
2020,Plateau,63.81,0.67,38.02,8,0.74,0.76,8.22,0.05,35.45,943.95
2015,Rivers,42.88,0.29,43.66,8.61,0.33,0.31,8.69,0.01,35.02,1882.62
2016,Rivers,46,0.32,43.67,11.07,0.35,0.33,7.93,0.01,34.99,2188.48
2017,Rivers,43.12,0.29,43.45,12.65,0.33,0.3,7.72,0.01,35,2905.66
2018,Rivers,46.5,0.3,43.55,10.48,0.33,0.31,7.41,0.02,35,3000.59
2019,Rivers,49,0.37,43.72,9.05,0.4,0.37,7.73,0.02,35,3227.34
2020,Rivers,56.06,0.41,42.63,7.69,0.45,0.41,7.99,0.03,34.99,3327.54
2015,Sokoto,86.5,0.8,33.2,13.24,0.88,0.8,3.8,0.02,35.82,759.38
2016,Sokoto,87.31,0.83,34.16,15.61,0.91,0.84,3.52,0.02,35.8,812.11
2017,Sokoto,88.25,0.87,33.12,17.58,0.95,0.88,3.01,0.03,35.8,669.73
2018,Sokoto,87.69,0.87,34.33,13.68,0.94,0.88,2.95,0.02,35.8,717.19
2019,Sokoto,87.69,0.86,33.02,17.76,0.93,0.87,2.66,0.04,35.8,1038.87
2020,Sokoto,87.06,0.86,33.93,15.06,0.93,0.88,3.54,0.03,35.8,1128.52
2015,Taraba,57.25,0.4,42.61,10.33,0.43,0.41,7.8,0.05,35.56,1181.25
2016,Taraba,63.88,0.48,42.01,12.91,0.49,0.46,6.95,0.02,35.54,1582.03
2017,Taraba,60.5,0.44,42.33,14.47,0.45,0.42,6.38,0.03,35.54,1518.75
2018,Taraba,61.25,0.41,40.81,11.41,0.44,0.41,7.02,0.07,35.54,1228.71
2019,Taraba,61,0.42,43.3,12.93,0.45,0.42,7.02,0.03,35.54,1149.61
2020,Taraba,64,0.45,42.01,11.9,0.46,0.44,6.95,0.07,35.54,1703.32
2015,Yobe,41.31,0.27,42.9,7.03,0.4,0.39,9.41,0.04,35.27,448.24
