year,state,crop,land_area,yield
2015,Benue,yam,123.4,12.83
2015,Borno,yam,,
2015,Cross River,yam,289,9.41
2015,Delta,yam,129.1,8.49
2015,Ebonyi,yam,179.7,10.08
2015,Edo,yam,208.5,3.65
2015,Ekiti,yam,161.03,8.48
2015,Enugu,yam,143.6,13.47
2015,Fct,yam,408.9,7.32
2015,Gombe,yam,,
2015,Imo,yam,182.9,4.05
2015,Jigawa,yam,,
2015,Kaduna,yam,140.96,13.63
2015,Kano,yam,,
2015,Katsina,yam,,
2015,Kebbi,yam,7.84,2.52
2015,Kogi,yam,262.8,6.84
2015,Kwara,yam,236.57,13.91
2015,Lagos,yam,156.12,0.53
2015,Nasarawa,yam,185.98,12.53
2015,Niger,yam,198.5,15.05
2015,Ogun,yam,204.7,7.32
2015,Ondo,yam,169.9,7.86
2015,Osun,yam,138.99,5.79
2015,Oyo,yam,192.07,9.21
2015,Plateau,yam,153.46,8.56
2015,Rivers,yam,179.9,6.39
2015,Sokoto,yam,,
2015,Taraba,yam,278.94,13.34
2015,Yobe,yam,,
2015,Zamfara,yam,,
2015,Abia,groundnut,7.2,1.344
2015,Adamawa,groundnut,50.82,1.901
2015,Akwa-Ibom,groundnut,2.3,1.529
2015,Anambra,groundnut,,
2015,Bauchi,groundnut,393.7,1.259
2015,Bayelsa,groundnut,,
2015,Benue,groundnut,109.11,1.909
2015,Borno,groundnut,99.72,0.817
2015,Cross River,groundnut,13.56,1.227
2015,Delta,groundnut,,
2015,Ebonyi,groundnut,0.93,1.995
2015,Edo,groundnut,5.9,1.344
2015,Ekiti,groundnut,48.2,1.116
2015,Enugu,groundnut,3.2,1.359
2015,Fct,groundnut,186,0.169
2015,Gombe,groundnut,38.21,1.478
2015,Imo,groundnut,0.21,1.095
2015,Jigawa,groundnut,131.11,0.717
2015,Kaduna,groundnut,146.94,2.081
2015,Kano,groundnut,169.52,0.22
2015,Katsina,groundnut,116.92,1.099
2015,Kebbi,groundnut,130.55,0.491
2015,Kogi,groundnut,142.84,1.367
2015,Kwara,groundnut,112.61,1.29
2015,Lagos,groundnut,3.5,1.381
2015,Nasarawa,groundnut,117.38,1.678
